date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:55:44	68/68	---M--	200	added ('OK')	text/plain	date:Mon,%2014%20Jun%202021%2017:55:44%20GMT	https://soobadina.co.uk/robots.txt		(from )
18:55:44	21861/21861	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:55:44%20GMT	https://soobadina.co.uk/	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/index.html	(from )
18:55:47	644/644	---M--	200	added ('OK')	image/png	etag:%225f9256fab46037152de42b32878602be%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/f5275206-a1d7-46a5-99ba-4abf3887e2ee_carw_1x1x32.png?h=ea6263994f0c2d8fc112ca2bb44a23ce	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/f5275206-a1d7-46a5-99ba-4abf3887e2ee_carw_1x1x320e47.png	(from https://soobadina.co.uk/)
18:55:47	11553/11553	---M--	200	added ('OK')	text/css	etag:%2260c0c168-2d21%22	https://soobadina.co.uk/dist/css/main.css	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/dist/css/main.css	(from https://soobadina.co.uk/)
18:55:48	77554/77554	---M--	200	added ('OK')	text/css	etag:%221e4b93193dd19dcd882ca8f6cf988147%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/fe2c8dd591d3c1753e42f69f2cfabedb1620383083.css?h=485f255c21a3fe4b7bcf74be71841973	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/fe2c8dd591d3c1753e42f69f2cfabedb1620383083c654.css	(from https://soobadina.co.uk/)
18:55:50	21861/21861	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:55:48%20GMT	https://soobadina.co.uk/my-profile	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/my-profile.html	(from https://soobadina.co.uk/)
18:55:50	17855/17855	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2014%20Jun%202021%2017:55:49%20GMT	http://use.typekit.net/ik/yj0B7OfSAb51TFN6ilss5wtak15Wl4Gv9baTxsCYQICfeTSffHYEBsJzwD9oFDIDWDba529t5QwowhmRwAID52jajRm8wcbkZcmqZQbXwDjhjRJhwhwu5Q9-RbI7OcuoSeNkieZzde8zOcFzdP37O1gkdDJlic88ikolpWgzS1scdhUTdkoRdhXCHKoDdhNKjAsTdcI0jhv0iACCdW83da4XZcNC-Av0jhNlOYgkdDJlic88ikolpWgzS1scdhUTdkoRdhXCShNzjcBq-AoyOcFzO1mnOYiaikoDdhNKjAsTdcI0jhv0iACKgeTG-YSKgYsE-YwKgYZRShX7fbRMPUMMeMS6MKGHfF7oMyMgeMJ6MKG4fHvgIMJjgfMfH6GJCwbgIMJjgPMfH6qJK3IbMy6YJMHbMShYUjbe.js?cb=	C:/Users/Samperfect/Downloads/Tope/use.typekit.net/ik/yj0B7OfSAb51TFN6ilss5wtak15Wl4Gv9baTxsCYQICfeTSffHYEBsJzwD9oFDIDWDba529t5QwowhmRwAID52jajRm8wcbkZcmqZQbXwDjhjRJhwhwu5Q9-RbI7OcuoSeNkieZzde8zOcFzdP37O1gkdDJlic88ikolpWgzS1scdhUTdkoRdh	(from https://soobadina.co.uk/)
18:55:50	9011/9011	---M--	200	added ('OK')	image/png	etag:%22bc1800f033e7a716e04ddf897cff2be1%22	https://pro2-bar-s3-cdn-cf1.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/ca39bdc5-e3a9-4d17-923c-be2f79b72b2f.png?h=b779317e0d68fb640981269fa4451e42	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf1.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/ca39bdc5-e3a9-4d17-923c-be2f79b72b2ff1eb.png	(from https://soobadina.co.uk/)
18:55:52	5077/5077	---M--	200	added ('OK')	image/png	etag:%22787b650c1034ddc441448fac9cbd0df4%22	https://pro2-bar-s3-cdn-cf1.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/ca39bdc5-e3a9-4d17-923c-be2f79b72b2f_rw_1200.png?h=64b3c0fd1cff5bf09af3f5d0fb0ce492	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf1.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/ca39bdc5-e3a9-4d17-923c-be2f79b72b2f_rw_1200d882.png	(from https://soobadina.co.uk/)
18:55:52	27809/27809	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:55:52%20GMT	https://soobadina.co.uk/product	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/product.html	(from https://soobadina.co.uk/)
